commodity_name,state,district,market,min_price,max_price,modal_price,date
Isabgul+(Psyllium),Madhya Pradesh,Neemuch,Neemuch,40.0,95.01,85.0,2019-11-27
Cabbage,Madhya Pradesh,Mandsaur,Mandsaur(F&V),13.0,15.0,14.0,2019-12-02
Wheat,Madhya Pradesh,Rajgarh,Khilchipur,21.0,21.17,21.12,2019-12-22
Wheat,Madhya Pradesh,Dewas,Sonkatch,17.0,23.0,22.0,2019-12-22
Cabbage,Madhya Pradesh,Ujjain,Ujjain(F&V),8.0,18.0,12.4,2019-11-21
Cauliflower,Madhya Pradesh,Dhar,Dhar(F&V),7.5,10.0,9.0,2019-11-19
Maize,Madhya Pradesh,Dindori,Dindori,15.5,16.11,16.0,2019-11-14
Barley+(Jau),Madhya Pradesh,Neemuch,Neemuch,18.11,19.7,19.0,2019-11-25
Ajwan,Madhya Pradesh,Neemuch,Neemuch,89.0,135.5,107.0,2019-11-20
Raddish,Madhya Pradesh,Ratlam,Jaora,3.0,6.0,5.0,2019-12-22
Amla(Nelli+Kai),Madhya Pradesh,Neemuch,Neemuch,19.0,21.0,20.0,2019-11-20
Cabbage,Madhya Pradesh,Burhanpur,Burhanpur(F&V),7.0,16.0,12.0,2019-12-23
Cauliflower,Madhya Pradesh,Dewas,Haatpipliya,14.0,18.0,17.0,2019-11-29
Soyabean,Madhya Pradesh,Shajapur,Nalkehda,34.0,40.5,37.5,2019-11-24
Tomato,Madhya Pradesh,Ratlam,Jaora,8.0,12.0,10.0,2019-12-22
Corriander+seed,Madhya Pradesh,Shajapur,Nalkehda,50.0,63.3,56.7,2019-11-19
Soyabean,Madhya Pradesh,Chhindwara,Chhindwara,32.76,38.31,34.6,2019-11-29
Corriander+seed,Madhya Pradesh,Neemuch,Neemuch,40.0,66.9,61.0,2019-11-19
Soyabean,Madhya Pradesh,Vidisha,Gulabganj,36.0,37.0,36.25,2019-11-29
Soyabean,Madhya Pradesh,Rajgarh,Khilchipur,24.5,39.65,36.5,2019-11-29
Soyabean,Madhya Pradesh,Neemuch,Neemuch,32.75,40.01,36.7,2019-11-29
Soyabean,Madhya Pradesh,Khargone,Segaon,28.5,33.0,32.5,2019-11-29
Soyabean,Madhya Pradesh,Sheopur,Sheopurbadod,32.8,37.16,35.58,2019-11-29
Soyabean,Madhya Pradesh,Sheopur,Sheopurkalan,25.05,38.81,38.0,2019-11-29
Soyabean,Madhya Pradesh,Dewas,Sonkatch,35.4,40.4,38.5,2019-11-29
Soyabean,Madhya Pradesh,Mandsaur,Suvasra,19.0,40.0,29.5,2019-11-29
Cotton,Madhya Pradesh,Jhabua,Jhabua,40.0,62.0,51.0,2019-11-19
Tomato,Madhya Pradesh,Burhanpur,Burhanpur(F&V),8.0,25.0,18.0,2019-11-19
Soyabean,Madhya Pradesh,Shivpuri,Barad,40.0,44.05,42.1,2019-12-27
Soyabean,Madhya Pradesh,Dindori,Gorakhpur,35.0,40.0,37.5,2019-12-27
Tomato,Madhya Pradesh,Dewas,Haatpipliya,14.0,19.0,17.0,2019-11-22
Sweet+Potato,Madhya Pradesh,Sheopur,Syopurkalan(F&V),4.0,5.5,4.75,2019-11-29
Taramira,Madhya Pradesh,Neemuch,Neemuch,34.01,34.01,34.01,2019-11-29
Cummin+Seed(Jeera),Madhya Pradesh,Neemuch,Neemuch,125.0,125.0,125.0,2019-11-19
Carrot,Madhya Pradesh,Indore,Indore(F&V),8.0,15.0,12.0,2019-12-27
Onion,Madhya Pradesh,Burhanpur,Burhanpur(F&V),10.0,40.0,24.0,2019-11-27
Bottle+gourd,Madhya Pradesh,Indore,Sanwer,8.0,10.0,9.5,2019-12-16
Bottle+gourd,Madhya Pradesh,Ujjain,Ujjain(F&V),7.5,19.0,14.22,2019-12-16
Tomato,Madhya Pradesh,Rajgarh,Narsinghgarh,9.0,10.0,9.0,2019-11-22
Paddy(Dhan)(Common),Madhya Pradesh,Guna,Guna,11.0,12.3,11.0,2019-12-05
Papaya,Madhya Pradesh,Guna,Guna(F&V),9.0,14.0,14.0,2019-11-25
Bitter+gourd,Madhya Pradesh,Ujjain,Ujjain(F&V),17.0,36.5,27.1,2019-11-20
Ginger(Green),Madhya Pradesh,Ujjain,Ujjain(F&V),25.5,76.0,42.06,2019-11-19
Brinjal,Madhya Pradesh,Harda,Harda(F&V),14.0,16.0,15.0,2019-12-16
Brinjal,Madhya Pradesh,Ujjain,Ujjain(F&V),8.5,18.2,14.24,2019-12-16
Green+Chilli,Madhya Pradesh,Rajgarh,Biaora,6.0,20.0,12.0,2019-11-19
Green+Chilli,Madhya Pradesh,Jabalpur,Jabalpur(F&V),8.35,12.65,10.0,2019-11-19
Green+Chilli,Madhya Pradesh,Ujjain,Ujjain(F&V),15.5,34.5,29.26,2019-11-19
Jowar(Sorghum),Madhya Pradesh,Khargone,Khargone,12.5,20.52,13.8,2019-11-19
Paddy(Dhan)(Basmati),Madhya Pradesh,Hoshangabad,Hoshangabad,18.5,26.11,25.3,2019-12-07
Onion,Madhya Pradesh,Dhar,Dhamnod,12.0,25.0,21.0,2019-12-18
Onion,Madhya Pradesh,Dhar,Dhar(F&V),20.0,45.0,35.0,2019-12-18
Brinjal,Madhya Pradesh,Narsinghpur,Gadarwada,20.0,30.0,25.0,2019-11-20
Brinjal,Madhya Pradesh,Ujjain,Ujjain(F&V),8.5,20.0,14.22,2019-11-20
Green+Peas,Madhya Pradesh,Jabalpur,Jabalpur(F&V),10.1,14.9,12.0,2019-11-19
Spinach,Madhya Pradesh,Ujjain,Ujjain(F&V),8.0,19.0,12.2,2019-12-09
Mustard,Madhya Pradesh,Dindori,Gorakhpur,31.11,34.5,32.8,2019-12-06
Groundnut,Madhya Pradesh,Jhabua,Jhabua,40.0,45.9,42.95,2019-11-19
Groundnut,Madhya Pradesh,Neemuch,Neemuch,26.0,46.51,38.0,2019-11-19
Wheat,Madhya Pradesh,Dindori,Dindori,18.3,19.55,18.5,2019-12-19
Paddy(Dhan)(Common),Madhya Pradesh,Dindori,Gorakhpur,18.15,18.15,18.15,2019-12-18
Onion,Madhya Pradesh,Chhindwara,Chhindwara(F&V),40.0,50.0,45.0,2019-12-06
Sponge+gourd,Madhya Pradesh,Dhar,Dhamnod,10.0,15.0,13.0,2019-12-09
Soyabean,Madhya Pradesh,Jhabua,Jhabua,40.0,40.0,40.0,2019-12-24
Maize,Madhya Pradesh,Khandwa,Pandhana,12.0,14.0,13.0,2019-11-17
Onion,Madhya Pradesh,Narsinghpur,Gadarwada,25.0,35.0,30.0,2019-11-18
Onion,Madhya Pradesh,Neemuch,Neemuch,30.0,45.0,38.0,2019-11-18
Isabgul+(Psyllium),Madhya Pradesh,Neemuch,Neemuch,63.5,92.51,83.5,2019-11-19
Soyabean,Madhya Pradesh,Dhar,Badnawar,15.0,40.0,35.2,2019-11-29
Soyabean,Madhya Pradesh,Khandwa,Khandwa,26.0,41.02,37.0,2019-11-29
Maize,Madhya Pradesh,Dhar,Dhar,18.3,20.5,18.8,2019-12-21
Soyabean,Madhya Pradesh,Ujjain,Ujjain,21.0,41.9,35.7,2019-11-29
Tomato,Madhya Pradesh,Indore,Indore(F&V),6.0,20.0,14.0,2019-11-19
Lemon,Madhya Pradesh,Dhar,Dhar(F&V),12.0,20.0,17.5,2019-11-19
Cabbage,Madhya Pradesh,Harda,Harda(F&V),9.0,11.0,10.0,2019-12-16
Cabbage,Madhya Pradesh,Ujjain,Ujjain(F&V),8.0,19.0,14.2,2019-12-16
Peas(Dry),Madhya Pradesh,Ratlam,Ratlam,18.76,25.0,21.0,2019-12-07
Linseed,Madhya Pradesh,Hoshangabad,Itarsi,40.01,48.16,46.0,2019-11-19
Linseed,Madhya Pradesh,Neemuch,Neemuch,46.61,55.6,53.55,2019-11-19
Cotton,Madhya Pradesh,Khargone,Badwaha,37.3,51.5,47.5,2019-11-13
Groundnut,Madhya Pradesh,Shivpuri,Shivpuri,24.0,51.05,38.0,2019-11-18
Capsicum,Madhya Pradesh,Ujjain,Ujjain(F&V),27.0,58.0,39.1,2019-11-20
Maize,Madhya Pradesh,Dhar,Dhar,15.98,18.54,16.5,2019-11-19
Maize,Madhya Pradesh,Hoshangabad,Itarsi,14.31,18.33,16.25,2019-11-19
Maize,Madhya Pradesh,Jabalpur,Jabalpur,16.95,18.0,17.85,2019-11-19
Wheat,Madhya Pradesh,Khargone,Sanawad,21.16,21.6,21.31,2019-11-19
Maize,Madhya Pradesh,Rajgarh,Khilchipur,14.2,20.1,17.0,2019-11-19
Maize,Madhya Pradesh,Neemuch,Neemuch,15.8,20.94,17.5,2019-11-19
Maize,Madhya Pradesh,Ujjain,Ujjain,20.6,20.6,20.6,2019-11-19
Cauliflower,Madhya Pradesh,Guna,Guna(F&V),10.0,12.0,10.0,2019-11-18
Cauliflower,Madhya Pradesh,Morena,Morena(F&V),12.0,12.0,12.0,2019-11-18
Cauliflower,Madhya Pradesh,Ujjain,Ujjain(F&V),10.0,24.0,17.22,2019-11-18
Capsicum,Madhya Pradesh,Ujjain,Ujjain(F&V),27.0,55.0,48.24,2019-12-16
Jowar(Sorghum),Madhya Pradesh,Khargone,Khargone,14.55,15.51,14.8,2019-12-03
Masur+Dal,Madhya Pradesh,Ujjain,Ujjain,34.0,34.0,34.0,2019-11-19
Wheat,Madhya Pradesh,Dindori,Dindori,19.2,19.5,19.35,2019-12-17
Wheat,Madhya Pradesh,Rajgarh,Khujner,20.72,21.8,20.9,2019-12-17
Peas(Dry),Madhya Pradesh,Jabalpur,Jabalpur,37.75,47.75,43.05,2019-12-18
Peas(Dry),Madhya Pradesh,Ujjain,Ujjain,22.05,22.05,22.05,2019-12-18
Methi+Seeds,Madhya Pradesh,Neemuch,Neemuch,38.0,53.0,40.0,2019-11-19
Methi+Seeds,Madhya Pradesh,Ujjain,Ujjain,32.0,37.8,35.02,2019-11-19
Castor+Seed,Madhya Pradesh,Khargone,Segaon,34.0,36.0,35.5,2019-11-20
Cauliflower,Madhya Pradesh,Dewas,Haatpipliya,18.0,21.0,20.0,2019-12-30
Cauliflower,Madhya Pradesh,Badwani,Sendhwa,6.0,11.5,7.5,2019-12-30
Mustard,Madhya Pradesh,Neemuch,Neemuch,35.0,39.61,38.5,2019-11-19
Apple,Madhya Pradesh,Ujjain,Ujjain(F&V),5.0,25.0,14.48,2019-11-11
Cauliflower,Madhya Pradesh,Narsinghpur,Gadarwada,12.0,14.0,13.0,2019-11-20
